,Backbone,DivisionType,VideosType,IoU,mAP,Recall@1x,Recall@5x
314,omnivore_3s,environment,error,0.5,11.58,15.93,21.97
325,omnivore_4s_60sub,recordings,error,0.1,21.51,33.15,41.78
326,omnivore_4s_60sub,recordings,error,0.2,21.21,32.13,41.1
327,omnivore_4s_60sub,recordings,error,0.3,20.69,30.89,40.61
328,omnivore_4s_60sub,recordings,error,0.4,19.75,29.0,38.98
329,omnivore_4s_60sub,recordings,error,0.5,18.46,26.83,36.86
335,omnivore_4s_60sub,person,error,0.1,22.49,34.22,42.05
336,omnivore_4s_60sub,person,error,0.2,22.27,33.56,41.31
337,omnivore_4s_60sub,person,error,0.3,21.97,32.5,40.63
338,omnivore_4s_60sub,person,error,0.4,21.02,30.49,39.45
339,omnivore_4s_60sub,person,error,0.5,19.67,28.42,37.75
345,omnivore_4s_60sub,environment,error,0.1,13.61,21.87,28.94
346,omnivore_4s_60sub,environment,error,0.2,12.84,19.62,28.0
347,omnivore_4s_60sub,environment,error,0.3,12.27,18.64,26.77
348,omnivore_4s_60sub,environment,error,0.4,11.78,17.18,25.13
349,omnivore_4s_60sub,environment,error,0.5,10.48,14.62,22.05
