,Backbone,DivisionType,VideosType,IoU,mAP,Recall@1x,Recall@5x
304,omnivore_3s,environment,all,0.5,38.87,56.12,75.85
315,omnivore_4s_60sub,recordings,all,0.1,50.54,78.18,93.94
316,omnivore_4s_60sub,recordings,all,0.2,49.76,75.89,92.77
317,omnivore_4s_60sub,recordings,all,0.3,48.72,73.1,91.74
318,omnivore_4s_60sub,recordings,all,0.4,46.65,68.51,89.18
319,omnivore_4s_60sub,recordings,all,0.5,43.57,63.03,85.15
340,omnivore_4s_60sub,person,all,0.1,51.27,79.74,94.36
341,omnivore_4s_60sub,person,all,0.2,50.91,78.31,93.19
342,omnivore_4s_60sub,person,all,0.3,50.01,75.7,91.62
343,omnivore_4s_60sub,person,all,0.4,48.15,71.12,89.14
344,omnivore_4s_60sub,person,all,0.5,45.09,65.6,85.96
350,omnivore_4s_60sub,environment,all,0.1,44.72,72.64,89.98
351,omnivore_4s_60sub,environment,all,0.2,43.84,69.03,87.9
352,omnivore_4s_60sub,environment,all,0.3,41.98,65.62,84.99
353,omnivore_4s_60sub,environment,all,0.4,40.3,61.14,81.88
354,omnivore_4s_60sub,environment,all,0.5,37.42,55.14,75.89
